#
#   VizieR Astronomical Server webviz.u-strasbg.fr
#    Date: 2017-10-23T21:20:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VOTx36584	
#INFO	-out.max=unlimited	
#INFO	queryParameters=6	
#-oc.form=D.
#-source=USNO-B1
#-c.ra=314.975125
#-c.dec=7.280722
#-c.bm=22.0000000/22.0000000
#-out.max=unlimited
#
#INFO	-c=314.975125+07.280722,bm=22.000000/22.	
#

#RESOURCE=yCat_1284
#Name: I/284
#Title: The USNO-B1.0 Catalog (Monet+ 2003)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	I_284_out:
#Name: I/284/out
#Title: The Whole-Sky USNO-B1.0 Catalog of 1,045,913,669 sources
#Column	USNO-B1.0	(a12)	Designation of the object (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascension at Eq=J2000, Ep=J2000 (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination at Eq=J2000, Ep=J2000 (2)	[ucd=pos.eq.dec;meta.main]
#Column	e_RAJ2000	(I3)	Mean error on RAdeg*cos(DEdeg) at Epoch	[ucd=stat.error;pos.eq.ra]
#Column	e_DEJ2000	(I3)	Mean error on DEdeg at Epoch	[ucd=stat.error;pos.eq.dec]
#Column	Epoch	(F6.1)	Mean epoch of observation (2)	[ucd=time.epoch;obs]
#Column	pmRA	(I6)	Proper motion in RA (relative to YS4.0)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(I6)	Proper motion in DE (relative to YS4.0)	[ucd=pos.pm;pos.eq.dec]
#Column	Ndet	(I1)	[0,5] Number of detections (7)	[ucd=meta.number]
#Column	B1mag	(F5.2)	? First blue magnitude	[ucd=phot.mag;em.opt.B]
#Column	R1mag	(F5.2)	? First red magnitude	[ucd=phot.mag;em.opt.R]
#Column	B2mag	(F5.2)	? Second blue magnitude	[ucd=phot.mag;em.opt.B]
#Column	R2mag	(F5.2)	? Second red magnitude	[ucd=phot.mag;em.opt.R]
#Column	Imag	(F5.2)	? Infrared (N) magnitude	[ucd=phot.mag;em.opt.I]
USNO-B1.0	RAJ2000	DEJ2000	e_RAJ2000	e_DEJ2000	Epoch	pmRA	pmDE	Ndet	B1mag	R1mag	B2mag	R2mag	Imag
0973-0692324	315.140695	+07.372820	119	141	1976.2	     0	     0	5	20.54	19.49	20.46	19.20	17.91
0973-0692325	315.142109	+07.386887	180	226	1993.2	     0	     0	3	     	     	21.09	20.03	19.24
0973-0692326	315.143514	+07.332384	110	 18	1981.6	     0	     0	4	     	19.02	21.23	19.07	17.66
0973-0692327	315.144212	+07.311414	 80	205	1978.7	   -24	   -16	3	     	19.08	     	19.94	18.37
0973-0692328	315.144639	+07.375792	103	 47	1976.2	     0	     0	5	16.51	15.16	15.73	15.08	15.03
0973-0692329	315.145259	+07.393970	218	 55	1993.0	     0	     0	2	     	     	     	19.89	19.06
0973-0692330	315.145275	+07.380237	318	 78	1982.6	    12	    16	4	     	19.85	21.07	19.57	18.68
0973-0692331	315.145925	+07.394734	127	 86	1976.2	     0	     0	5	19.71	17.33	18.52	16.85	16.56
0973-0692332	315.149273	+07.375884	245	195	1978.3	     0	     0	3	20.69	     	20.85	20.78	
0973-0692333	315.149281	+07.379100	271	117	1976.6	   -20	   -20	5	20.57	19.98	20.39	20.06	19.23
0973-0692334	315.150695	+07.301487	 11	600	1977.3	   -12	     0	3	     	19.92	21.67	20.06	
0973-0692335	315.150778	+07.346848	133	 19	1991.1	     0	     0	2	     	     	     	20.58	19.12
0973-0692336	315.150889	+07.354120	323	117	1991.9	     0	  -110	3	     	     	20.93	20.43	19.24
0973-0692337	315.151342	+07.343570	219	187	1978.3	    -8	   -22	3	     	19.99	20.96	20.13	
0973-0692338	315.152253	+07.380170	758	140	1970.7	     0	     0	2	     	19.96	     	20.60	
0973-0692339	315.153014	+07.338737	 94	144	1981.6	     0	     0	4	     	19.08	20.01	18.55	17.88
0973-0692340	315.154395	+07.322548	160	 69	1981.6	     0	     0	4	     	19.26	21.09	19.40	18.31
0973-0692341	315.154534	+07.375312	191	 88	1976.2	     0	     0	5	20.02	19.02	19.89	18.60	18.27
0973-0692342	315.155056	+07.312267	361	209	1976.0	     0	     0	5	20.66	19.55	20.00	19.67	18.51
0973-0692343	315.155387	+07.349092	714	484	1992.0	     0	     0	2	     	     	20.64	19.89	
0973-0692344	315.155448	+07.348775	314	132	1976.0	     0	     0	5	20.69	19.95	20.55	19.93	19.17
0973-0692345	315.155664	+07.319125	296	 68	1976.0	     8	     6	5	20.65	18.88	20.44	18.66	17.76
0973-0692346	315.156103	+07.377381	110	104	1976.8	     0	   -20	5	20.72	19.76	20.95	19.39	18.05
0973-0692347	315.157898	+07.369692	126	 60	1981.8	     0	     0	4	     	19.38	19.88	19.27	18.44
0973-0692348	315.158931	+07.333687	137	 83	1976.0	     0	     0	5	17.85	16.80	17.20	16.65	16.32
0973-0692349	315.159428	+07.364478	231	194	1982.4	     0	     0	4	     	19.82	20.33	18.99	17.92
0971-0668435	314.791359	+07.103528	131	102	1976.0	     0	     0	5	20.25	19.20	19.24	18.75	18.62
0971-0668436	314.791506	+07.151567	138	 46	1976.0	     0	     0	5	20.10	19.16	18.97	18.58	18.79
0971-0668437	314.793256	+07.133398	 40	 62	1976.0	     0	     0	5	18.77	17.58	17.91	17.08	17.00
0971-0668438	314.793625	+07.127234	999	999	1992.5	     0	     0	2	     	     	21.52	     	19.24
0971-0668439	314.794023	+07.157845	228	 40	1992.0	     0	     0	2	     	     	20.25	19.93	
0971-0668440	314.794134	+07.104075	181	100	1981.6	     0	     0	4	     	19.66	21.44	19.43	18.62
0971-0668441	314.794431	+07.157781	253	120	1989.0	     0	     0	2	     	     	20.99	19.63	
0971-0668442	314.794495	+07.131045	144	419	1990.9	     0	     0	3	     	     	21.44	20.25	19.11
0971-0668443	314.794881	+07.177625	 44	 80	1976.0	     0	     0	5	18.85	17.98	18.11	17.64	17.87
0971-0668444	314.795006	+07.111850	219	183	1981.6	     0	     0	4	     	19.10	20.83	18.35	17.37
0971-0668445	314.795175	+07.157531	 69	 74	1976.0	     0	     0	5	17.92	16.47	16.83	15.99	15.69
0971-0668446	314.796428	+07.113625	 88	 26	1976.0	     0	     0	5	17.01	15.43	15.89	15.07	14.52
0971-0668447	314.796475	+07.187306	177	164	1976.6	     0	     0	5	20.72	19.64	20.72	20.30	19.15
0971-0668448	314.797978	+07.167931	 82	 42	1976.0	    -4	    10	5	19.85	18.63	18.83	17.93	17.95
0971-0668449	314.799048	+07.102164	999	999	1979.6	  -426	  -470	3	     	20.02	20.66	     	19.23
0971-0668450	314.799275	+07.163503	141	 40	1976.0	     0	     0	5	19.67	18.65	18.80	18.27	18.33
0971-0668451	314.799431	+07.163356	812	999	1978.7	   236	  -124	3	     	20.02	     	20.66	19.11
0971-0668452	314.800323	+07.116406	 92	109	1976.0	     0	     0	5	18.65	18.06	18.03	17.52	17.65
0971-0668453	314.800564	+07.173084	 79	 39	1978.3	  -338	   326	3	20.67	     	21.47	19.88	
0971-0668454	314.800648	+07.142698	272	344	1991.1	     0	     0	2	     	     	     	20.96	19.23
0971-0668455	314.800789	+07.102339	 81	139	1981.6	     0	     0	4	     	19.48	19.52	19.04	17.99
0971-0668456	314.800862	+07.132117	168	 33	1981.6	   -10	    -4	4	     	19.02	19.93	18.42	18.17
0971-0668457	314.801353	+07.103100	318	364	1979.3	     2	   -44	3	     	19.80	20.65	19.99	
0971-0668458	314.804537	+07.146337	 63	268	1978.7	    14	    -8	3	     	20.02	     	19.89	18.74
0971-0668459	314.804884	+07.184287	999	849	1973.6	     0	     0	2	     	20.04	21.10	     	
0971-0668460	314.807100	+07.121437	121	252	1976.0	     4	    28	5	20.26	17.47	19.57	17.24	15.90
0971-0668461	314.807575	+07.115750	 83	184	1976.0	     0	     0	5	20.58	19.88	20.66	19.94	18.96
0971-0668462	314.807653	+07.159025	423	 97	1990.9	  -148	   -82	3	     	     	21.04	20.30	19.09
0971-0668463	314.808159	+07.109703	999	289	1991.1	     0	     0	2	     	     	     	20.96	18.55
0971-0668464	314.809134	+07.123473	200	 53	1976.0	   -12	   -18	5	19.85	16.88	18.87	16.96	15.32
0971-0668465	314.809425	+07.111314	999	999	1992.6	     0	     0	2	     	     	     	19.77	16.87
0971-0668466	314.809709	+07.100803	 40	 43	1976.0	     0	     0	5	20.47	19.28	19.70	18.60	18.44
0971-0668467	314.810123	+07.133628	999	999	1992.5	     0	     0	2	     	     	20.94	     	18.94
0971-0668468	314.810195	+07.144575	 28	 30	1976.0	     0	     0	5	19.62	17.86	18.36	17.42	17.44
0971-0668469	314.810359	+07.165389	 60	112	1981.6	     0	     0	4	     	19.51	20.51	19.13	18.34
0971-0668470	314.810453	+07.153206	  1	122	1979.7	   -10	    -4	3	     	20.03	     	19.93	18.89
0971-0668471	314.810689	+07.133295	115	 46	1982.4	     0	     0	4	     	19.59	20.83	19.52	18.37
0971-0668472	314.811306	+07.130667	165	 67	1976.0	     0	     0	5	20.30	19.05	19.41	18.85	18.31
0971-0668473	314.811509	+07.147456	 35	137	1977.3	   -10	    10	3	     	19.97	21.29	20.12	
0971-0668474	314.811909	+07.172139	183	114	1981.6	     0	     0	4	     	19.83	21.27	19.11	19.04
0971-0668475	314.812470	+07.141870	108	 36	1976.0	     0	     0	5	19.44	17.05	18.35	16.76	16.12
0971-0668476	314.812731	+07.188300	214	349	1972.1	     0	     0	4	20.68	19.96	21.10	19.73	
0971-0668477	314.812895	+07.172614	198	124	1982.4	     0	     0	4	     	19.85	20.69	19.79	19.24
0971-0668478	314.812931	+07.188089	114	435	1973.6	     0	     0	2	20.68	     	21.07	     	
0971-0668479	314.813534	+07.149800	 89	121	1976.0	     0	     0	5	20.00	19.31	19.45	19.55	19.01
0971-0668480	314.813981	+07.145306	251	184	1977.3	     0	     0	3	20.18	     	20.19	19.02	
0971-0668481	314.814264	+07.144664	183	134	1976.6	    24	   -40	5	19.91	19.82	20.92	19.96	19.19
0971-0668482	314.814503	+07.158017	149	 59	1991.9	   124	  -212	3	     	     	21.10	20.96	18.98
0971-0668483	314.814509	+07.141581	765	110	1991.9	   -18	   -40	3	     	     	21.10	20.86	18.87
0971-0668484	314.814625	+07.119287	 24	 59	1990.5	     0	     0	2	     	     	21.58	20.10	
0971-0668485	314.814684	+07.172209	149	141	1981.6	     0	     0	4	     	19.97	21.67	20.29	19.04
0971-0668486	314.814939	+07.115828	107	 46	1976.0	     0	     0	5	19.47	18.35	18.71	18.14	17.86
0971-0668487	314.815859	+07.125584	 89	 79	1976.0	     0	     0	5	16.43	14.72	15.59	14.52	14.16
0971-0668488	314.816745	+07.164348	222	239	1990.9	     0	     0	3	     	     	21.63	20.91	19.24
0971-0668489	314.816764	+07.125667	309	115	1983.1	    16	    14	4	     	17.05	18.57	16.56	16.79
0971-0668490	314.818353	+07.193856	999	999	1990.9	  -800	  -176	3	     	     	20.13	20.26	19.22
0971-0668491	314.818567	+07.163298	104	 58	1977.3	    -8	     4	3	20.46	     	20.61	19.74	
0971-0668492	314.820220	+07.113109	 98	 29	1976.0	     0	     0	5	16.37	14.99	15.63	14.81	14.24
0971-0668493	314.821042	+07.194348	 64	486	1977.3	     0	     0	3	20.60	     	20.13	19.28	
0971-0668494	314.821356	+07.194495	 98	297	1966.9	    12	     4	3	20.64	19.84	20.59	     	
0971-0668495	314.822545	+07.136867	999	999	1992.6	     0	     0	2	     	     	     	17.65	18.82
0971-0668496	314.822723	+07.113628	115	196	1976.0	    10	    -8	5	20.01	18.12	19.51	17.56	17.16
0971-0668497	314.823170	+07.152506	137	208	1976.0	     0	     0	5	18.21	16.14	17.08	16.01	14.97
0971-0668498	314.823400	+07.115964	253	208	1971.4	     0	     0	4	20.72	19.86	20.61	20.06	
0971-0668499	314.823445	+07.178500	 96	 62	1976.0	    16	     6	5	16.22	14.28	15.35	14.32	13.41
0971-0668500	314.823487	+07.140020	 83	 51	1976.0	     0	     0	5	14.48	11.15	13.20	11.24	 9.75
0971-0668501	314.824631	+07.118792	 83	 82	1976.0	    -8	     0	5	17.73	16.20	16.97	16.03	15.73
0971-0668502	314.825864	+07.175078	417	 17	1977.3	   -16	     8	3	     	19.92	21.10	20.06	
0971-0668503	314.826006	+07.147109	107	 97	1976.0	     0	     0	5	19.12	17.64	18.11	17.02	17.06
0971-0668504	314.826353	+07.158250	 79	113	1976.0	     0	     0	5	20.03	19.68	20.08	19.46	19.24
0971-0668505	314.826681	+07.157714	999	999	1972.2	     0	     0	2	     	19.80	     	19.85	
0971-0668506	314.826931	+07.102856	999	809	1970.7	     0	     0	2	     	19.72	     	20.63	
0971-0668507	314.827034	+07.140889	999	999	1992.6	     0	     0	2	     	     	     	18.19	18.56
0971-0668508	314.827445	+07.112859	116	103	1982.4	     0	     0	4	     	19.64	20.97	19.83	18.83
0971-0668509	314.827462	+07.173734	999	999	1974.2	     0	     0	2	     	19.92	     	     	19.23
0971-0668510	314.827467	+07.192103	390	282	1981.6	   -40	   -42	4	     	20.00	21.24	19.53	18.60
0971-0668511	314.827573	+07.103012	173	209	1972.2	     0	     0	2	     	20.02	     	20.09	
0971-0668512	314.827764	+07.190531	 78	 85	1976.0	     0	     0	5	20.27	19.46	19.94	19.47	19.07
0971-0668513	314.828064	+07.149489	145	 35	1976.0	    -4	   -14	5	15.60	14.01	14.82	13.90	13.24
0971-0668514	314.828414	+07.182175	104	 57	1976.0	     0	     0	5	18.75	18.51	17.98	17.78	17.75
0971-0668515	314.828764	+07.137898	999	999	1990.6	     0	     0	2	     	     	20.89	19.70	
0971-0668516	314.829867	+07.137500	199	 85	1978.3	    44	     4	3	     	19.96	20.98	20.96	
0971-0668517	314.830514	+07.150695	143	 79	1972.1	     0	     0	2	     	20.02	21.53	     	
0971-0668518	314.831592	+07.108900	178	199	1981.6	     0	     0	4	     	19.83	21.04	19.69	18.60
0971-0668519	314.832273	+07.152067	 64	 55	1992.6	     0	     0	2	     	     	     	20.10	19.21
0971-0668520	314.833462	+07.165239	113	 41	1981.6	     0	     0	4	     	20.01	21.04	20.26	19.23
0971-0668521	314.833775	+07.128900	824	 77	1979.7	  -420	   138	3	20.25	     	     	20.04	19.24
0971-0668522	314.833864	+07.181756	 67	651	1979.7	   194	   322	3	     	20.05	     	19.84	18.95
0971-0668523	314.834239	+07.195239	 92	276	1978.7	     0	     0	3	     	20.04	     	20.65	18.93
0971-0668524	314.834306	+07.162970	 67	 34	1976.0	     0	     0	5	18.64	17.18	17.72	16.83	16.91
0971-0668525	314.834398	+07.145867	183	 79	1992.6	     0	     0	2	     	     	     	20.10	19.13
0971-0668526	314.834934	+07.110839	112	 98	1982.4	     0	     0	4	     	20.02	20.97	20.41	19.11
0971-0668527	314.836506	+07.167953	 79	 74	1976.0	     0	     0	5	17.22	15.97	16.32	15.50	15.18
0971-0668528	314.836589	+07.174137	124	 98	1976.0	     0	     0	5	20.50	19.09	19.84	18.96	18.39
0971-0668529	314.836806	+07.198931	 99	 61	1976.0	     0	     0	5	18.03	16.35	16.89	16.06	15.90
0971-0668530	314.839106	+07.126828	112	145	1976.0	     0	     0	5	20.24	18.04	18.90	17.74	16.36
0971-0668531	314.839467	+07.148975	128	111	1976.0	     0	     0	5	20.32	17.71	19.38	17.18	16.42
0971-0668532	314.839575	+07.100348	476	334	1970.7	     0	     0	2	     	20.00	     	20.39	
0971-0668533	314.840820	+07.164312	149	208	1976.0	   -10	   -50	5	19.00	17.40	18.10	17.10	16.79
0971-0668534	314.841003	+07.157087	116	 69	1976.0	     0	     0	5	16.30	14.50	15.29	14.39	13.64
0971-0668535	314.841137	+07.162909	148	191	1976.0	     0	     0	5	20.64	18.59	20.93	19.18	18.86
0971-0668536	314.841159	+07.162245	 14	329	1972.2	     0	     0	2	     	19.85	     	20.04	
0971-0668537	314.841253	+07.196481	154	105	1976.0	     0	     0	5	14.84	13.14	13.85	13.07	12.26
0971-0668538	314.842192	+07.127709	 97	 36	1976.0	     0	     0	5	18.64	17.39	17.60	17.21	17.47
0971-0668539	314.842331	+07.133723	110	768	1992.9	   168	   -32	3	     	     	21.04	20.06	19.15
0971-0668540	314.842567	+07.129992	185	127	1976.0	     0	     0	5	19.94	18.99	19.33	18.75	18.42
0971-0668541	314.843587	+07.195295	 97	  0	1965.0	     0	   -10	3	19.42	18.13	     	17.42	
0971-0668542	314.844184	+07.183403	134	 48	1976.0	     0	     0	5	17.63	16.16	16.78	16.05	15.62
0971-0668543	314.844189	+07.194873	999	999	1982.3	   220	  -284	4	     	18.36	18.00	20.09	18.00
0971-0668544	314.844292	+07.142759	175	 49	1976.0	     0	    -6	5	20.06	19.62	19.50	19.13	18.76
0971-0668545	314.845092	+07.137856	265	 63	1976.0	    -6	     8	5	20.22	17.83	19.41	17.52	17.26
0971-0668546	314.845703	+07.118587	 89	143	1976.0	     0	     0	5	17.04	15.65	16.14	15.37	14.81
0971-0668547	314.846445	+07.144364	 71	 31	1976.0	     0	     0	5	17.46	15.30	16.37	15.14	14.54
0971-0668548	314.846834	+07.106100	 69	 87	1976.0	     0	     0	5	20.44	18.63	19.48	17.81	17.95
0971-0668549	314.847314	+07.180089	124	 64	1976.0	    -2	     8	5	16.47	15.13	15.59	14.89	14.26
0971-0668550	314.847467	+07.195953	 98	195	1981.6	    16	     8	4	     	19.83	20.89	19.55	18.87
0971-0668551	314.847484	+07.156223	123	 71	1976.0	     0	     0	5	18.21	16.64	17.28	16.32	16.16
0971-0668552	314.847656	+07.165281	999	999	1953.7	     0	     0	2	20.69	20.03	     	     	
0971-0668553	314.847787	+07.163864	260	229	1981.6	   -28	    -6	4	     	19.70	21.14	19.68	19.20
0971-0668554	314.848025	+07.175812	999	999	1966.9	     0	     0	3	20.42	20.05	20.87	     	
0971-0668555	314.848545	+07.125234	 64	 99	1976.0	     0	     0	5	18.82	17.06	18.05	16.80	16.31
0971-0668556	314.848567	+07.157867	 48	 43	1976.0	     0	     0	5	20.23	18.69	19.86	18.36	18.13
0971-0668557	314.848575	+07.151898	192	121	1976.0	     8	    12	5	19.78	17.26	18.54	16.68	16.22
0971-0668558	314.848850	+07.176381	 86	117	1981.6	    12	     0	4	     	19.89	21.34	19.58	19.20
0971-0668559	314.848884	+07.197859	153	 50	1978.3	    14	   -12	3	     	20.05	20.77	19.98	
0971-0668560	314.849367	+07.101420	580	135	1970.7	     0	     0	2	     	19.89	     	19.99	
0971-0668561	314.850045	+07.168212	 99	 63	1976.0	     0	     0	5	20.09	17.62	18.91	16.95	15.84
0971-0668562	314.850931	+07.112189	146	138	1981.6	   -10	    14	4	     	20.00	20.58	19.82	19.02
0971-0668563	314.851578	+07.141773	311	999	1978.3	   362	   -92	3	     	20.05	20.73	20.10	
0971-0668564	314.852378	+07.150414	297	447	1971.4	     0	     0	4	20.65	19.28	21.42	19.67	
0971-0668565	314.852545	+07.163006	 66	134	1981.6	    -8	    26	4	     	19.46	21.46	19.36	18.63
0971-0668566	314.852548	+07.108467	 91	 83	1976.0	     8	   -16	5	19.43	17.93	18.34	17.69	17.76
0971-0668567	314.852898	+07.128450	148	145	1976.0	     0	     0	5	20.68	19.39	20.55	19.07	18.57
0971-0668568	314.852978	+07.163500	143	411	1991.9	     0	     0	3	     	     	21.02	20.09	19.24
0971-0668569	314.853087	+07.103589	 98	112	1976.0	     0	     0	5	14.27	11.66	13.45	11.99	10.70
0971-0668570	314.854059	+07.191889	267	 94	1981.6	     0	     0	4	     	20.00	21.35	20.18	19.06
0971-0668571	314.854825	+07.107900	143	130	1976.0	     0	     0	5	20.10	18.94	19.36	18.66	18.39
0971-0668572	314.857023	+07.149656	118	 44	1976.0	     0	     0	5	18.00	16.70	17.21	16.35	16.40
0971-0668573	314.857770	+07.103792	999	659	1974.2	     0	     0	2	     	19.75	     	     	17.47
0971-0668574	314.857939	+07.154225	 14	140	1992.6	     0	     0	2	     	     	     	20.00	19.16
0971-0668575	314.858437	+07.128070	 53	 28	1976.0	     0	     0	5	17.05	15.64	16.25	15.35	14.67
0971-0668576	314.859120	+07.114184	 61	 67	1976.0	     0	     0	5	18.73	17.45	17.56	16.83	16.93
0971-0668577	314.859520	+07.160389	 73	185	1976.0	     0	     0	5	20.68	19.68	21.01	19.23	18.79
0971-0668578	314.859925	+07.197495	174	 86	1982.4	     0	     0	4	     	19.86	21.09	20.16	18.72
0971-0668579	314.860400	+07.104703	630	 14	1974.2	     0	     0	2	     	20.05	     	     	17.00
0971-0668580	314.860667	+07.102437	999	 49	1978.7	  -378	  -276	3	     	19.88	     	20.25	17.17
0971-0668581	314.861950	+07.159584	680	169	1979.7	     0	     0	3	     	17.98	     	16.80	17.75
0971-0668582	314.862087	+07.193992	133	240	1990.5	     0	     0	2	     	     	21.24	20.06	
0971-0668583	314.862328	+07.159645	127	128	1967.3	   -46	   -14	3	16.75	15.30	     	     	16.50
0971-0668584	314.862350	+07.110331	 87	 49	1976.0	     0	     0	5	20.30	19.66	20.05	19.41	19.14
0971-0668585	314.862981	+07.159820	139	 49	1976.0	    56	    10	5	18.31	17.59	15.76	14.90	15.06
0971-0668586	314.863114	+07.118853	999	999	1978.7	  -660	  -400	3	20.73	     	     	20.70	19.00
0971-0668587	314.863464	+07.128995	757	999	1978.7	  -252	   358	3	     	20.05	     	20.45	19.11
0971-0668588	314.864300	+07.150900	142	223	1977.3	     0	     0	3	     	20.02	21.45	20.31	
0971-0668589	314.864778	+07.171034	 17	 89	1978.7	    16	   -12	3	     	19.95	     	20.04	19.00
0971-0668590	314.865348	+07.124939	 39	 67	1976.0	     0	     0	5	19.99	18.68	19.02	18.46	18.37
0971-0668591	314.865650	+07.116089	127	218	1976.0	     0	     0	5	20.67	18.78	20.38	18.25	18.20
0971-0668592	314.865734	+07.189514	 95	131	1976.0	    -2	   -14	5	20.53	19.89	21.10	20.04	19.24
0971-0668593	314.866737	+07.151673	999	886	1978.7	   382	   -82	3	     	19.86	     	20.43	19.05
0971-0668594	314.866742	+07.117170	107	195	1976.0	   -12	    -8	5	19.83	18.64	18.72	18.22	18.33
0971-0668595	314.867428	+07.112756	101	173	1981.6	     0	     0	4	     	19.49	20.69	19.21	18.85
0971-0668596	314.869539	+07.193439	 31	109	1979.7	   -38	   270	3	20.52	     	     	16.80	16.90
0971-0668597	314.869598	+07.187239	 94	184	1978.7	     0	     0	3	     	19.87	     	19.88	18.34
0971-0668598	314.869862	+07.170709	644	540	1974.2	     0	     0	2	     	20.03	     	     	19.23
0971-0668599	314.870042	+07.192859	999	885	1972.2	     0	     0	2	     	18.21	     	17.74	
0971-0668600	314.870106	+07.191887	 88	 70	1976.0	     0	     0	5	14.30	12.70	13.51	12.78	12.15
0971-0668601	314.870228	+07.170998	324	847	1965.0	     0	     0	3	20.72	19.99	     	20.66	
0971-0668602	314.870689	+07.120459	151	 68	1976.0	     0	     0	5	20.69	19.38	20.69	19.13	18.91
0971-0668603	314.870773	+07.123189	 79	 73	1976.0	     0	     0	5	19.66	18.69	18.79	18.52	18.31
0971-0668604	314.871003	+07.192975	198	349	1976.6	     0	     0	5	19.14	18.34	17.93	17.96	18.77
0971-0668605	314.871028	+07.183062	999	638	1983.1	   202	   350	4	     	19.68	20.82	19.43	19.14
0971-0668606	314.871103	+07.137617	123	 77	1976.0	     0	     0	5	20.38	19.52	20.04	19.24	18.84
0971-0668607	314.871673	+07.198670	193	135	1970.7	     0	     0	2	     	20.05	     	20.30	
0971-0668608	314.871695	+07.181173	 55	 47	1976.0	    34	     4	5	17.28	15.36	16.30	14.97	14.35
0971-0668609	314.872503	+07.197020	132	111	1976.0	     0	     0	5	18.87	17.72	18.02	17.33	17.67
0971-0668610	314.873414	+07.172753	  5	369	1978.7	    -8	   -14	3	     	19.64	     	19.29	18.80
0971-0668611	314.873820	+07.108178	 59	142	1976.0	     0	     0	5	19.69	18.56	18.62	18.12	18.18
0971-0668612	314.873895	+07.152192	144	118	1981.6	     0	     0	4	     	18.77	21.04	19.00	17.97
0971-0668613	314.873920	+07.199748	170	726	1978.7	   136	   176	3	     	19.64	     	19.72	18.99
0971-0668614	314.874184	+07.182162	103	134	1976.0	     0	     0	5	20.42	19.48	19.95	19.08	18.62
0971-0668615	314.874764	+07.177287	342	175	1991.1	     0	     0	2	     	     	     	19.56	18.38
0971-0668616	314.875209	+07.191945	 27	 82	1976.0	     0	     0	5	18.08	16.82	17.11	16.51	16.31
0971-0668617	314.875864	+07.106564	 13	470	1978.7	   -28	    92	3	     	18.17	     	19.63	18.91
0971-0668618	314.875881	+07.176203	923	999	1982.4	   214	   202	4	     	20.05	20.41	19.86	18.94
0971-0668619	314.876250	+07.105153	105	135	1976.0	     0	     0	5	20.11	18.78	19.08	17.89	17.77
0971-0668620	314.876373	+07.163570	 67	145	1976.0	     0	     0	5	20.73	19.17	20.54	18.47	18.01
0971-0668621	314.876556	+07.106145	570	 90	1972.1	     0	     0	2	     	18.46	20.02	     	
0971-0668622	314.877350	+07.158567	155	236	1971.4	     0	     0	4	20.66	19.92	20.91	19.64	
0971-0668623	314.877517	+07.106614	165	 68	1976.0	     0	     0	5	19.74	18.60	18.54	18.11	18.14
0971-0668624	314.877714	+07.186484	999	999	1953.7	     0	     0	2	20.65	19.87	     	     	
0971-0668625	314.877764	+07.154187	 59	144	1991.1	     0	     0	2	     	     	     	20.04	18.96
0971-0668626	314.878112	+07.193178	259	101	1982.4	     0	     0	4	     	19.82	21.00	19.79	19.15
0971-0668627	314.878456	+07.186589	 65	 99	1976.0	     0	     0	5	20.07	17.82	18.85	17.15	17.10
0971-0668628	314.878889	+07.151475	178	205	1990.5	     0	     0	2	     	     	21.17	20.05	
0971-0668629	314.879259	+07.124584	325	169	1978.7	   -32	    32	3	     	19.97	     	20.96	18.94
0971-0668630	314.879600	+07.152367	218	179	1976.0	     0	     0	5	20.73	19.24	21.04	18.69	18.28
0971-0668631	314.880856	+07.155075	 51	 94	1976.0	     0	     0	5	17.47	16.31	16.72	16.04	15.77
0971-0668632	314.881428	+07.184467	182	 65	1976.0	     0	     0	5	20.14	19.79	20.02	19.30	18.80
0971-0668633	314.882837	+07.141378	119	152	1981.6	     0	     0	4	     	19.76	20.92	19.63	18.84
0971-0668634	314.885181	+07.162020	234	105	1976.0	     0	     0	5	20.14	17.82	19.31	17.35	17.62
0971-0668635	314.886695	+07.195067	119	 48	1976.0	     0	     0	5	17.81	16.30	17.13	16.07	15.79
0971-0668636	314.887067	+07.162167	138	116	1976.0	     0	     0	5	16.93	14.40	15.74	14.23	13.72
0971-0668637	314.888337	+07.182950	231	 98	1976.0	    -6	   -18	5	20.36	19.64	20.47	19.37	18.88
0971-0668638	314.888442	+07.160562	109	171	1976.0	     0	     0	5	18.15	16.75	16.76	15.91	16.56
0971-0668639	314.888492	+07.180442	550	375	1991.1	     0	     0	2	     	     	     	20.33	19.24
0971-0668640	314.888509	+07.143267	 91	143	1976.0	     0	     0	5	16.56	14.28	15.49	14.21	13.49
0971-0668641	314.888881	+07.164623	288	158	1977.3	     0	     0	3	20.72	     	21.20	20.18	
0971-0668642	314.889634	+07.198448	106	 93	1976.0	     0	     0	5	20.57	19.46	20.13	18.79	18.61
0971-0668643	314.891587	+07.112831	122	 97	1976.0	     0	     0	5	18.34	17.17	17.49	16.65	16.37
0971-0668644	314.892189	+07.194681	 54	 95	1991.1	     0	     0	2	     	     	     	20.71	18.95
0971-0668645	314.892284	+07.102217	 82	 81	1976.0	     0	     0	5	20.26	19.22	20.02	19.00	18.54
0971-0668646	314.892628	+07.131995	206	104	1981.6	     0	     0	4	     	19.82	21.66	19.81	18.69
